FlightNo,X,Y,Z
FL00402,159.231,8094.73,10292.131
FL00403,8875.345,3996.841,3405.132
FL00404,1022.315,9199.636,3290.574
FL00405,1234.721,5637.896,6061.26
FL00406,9608.029,6994.879,9837.949
FL00407,2546.828,1376.17,6876.888
FL00408,9449.431,8611.112,4366.431
FL00409,9307.554,5208.589,8768.505
FL00410,7154.208,7099.182,4793.468
FL00411,4780.402,4811.992,5492.485
FL00412,9124.311,7671.271,5496.989
FL00413,5745.06,4620.516,927.325
FL00414,3282.687,838.751,6748.322
FL00415,7733.763,4155.359,7513.316
FL00416,7235.115,7723.272,9570.249
FL00417,8239.411,7242.116,8895.31
FL00418,1623.032,7869.255,129.038
FL00419,4698.221,8117.334,3748.605
FL00420,3329.216,1338.994,10627.183
FL00421,8326.995,2108.134,11094.137
FL00422,1814.721,6209.614,10593.384
FL00423,4033.144,2918.556,4286.029
FL00424,4813.789,3016.845,10376.96
FL00425,6729.358,9466.557,7327.184
FL00426,9215.062,21.705,5185.826
FL00427,3797.123,991.169,10044.276
FL00428,9381.021,6430.356,9127.37
FL00429,8177.581,2358.643,3079.477
FL00430,9925.158,3063.317,5088.664
FL00431,3174.171,5767.272,3554.505
FL00432,3154.307,4729.347,7599.977
FL00433,7326.682,4158.487,7335.499
FL00434,1229.46,8149.639,4326.791
FL00435,5339.524,4237.638,7210.135
FL00436,1719.496,2842.889,6505.768
FL00437,8911.166,6653.821,11725.904
FL00438,3769.56,4508.616,3913.851
FL00439,7640.453,8771.054,11684.367
FL00440,5717.21,4592.081,5703.038
FL00441,333.664,8942.234,11099.268
FL00442,8074.691,9549.024,818.434
FL00443,1256.956,8535.848,9680.865
FL00444,7574.602,6425.255,8527.42
FL00445,1672.689,9192.939,5712.556
FL00446,8429.966,7081.705,8365.943
FL00447,6622.584,8330.18,5345.798
FL00448,3298.494,7609.493,9150.569
FL00449,5666.231,7728.092,7848.761
FL00450,197.909,852.719,6470.696
FL00451,524.607,5876.936,4576.648
FL00452,8985.752,3315.44,9417.805
FL00453,1422.53,9135.585,1122.425
FL00454,2854.722,5100.152,5240.177
FL00455,8428.431,4920.3,10356.305
FL00456,2206.11,7197.675,3223.75
FL00457,9042.022,6825.519,8589.743
FL00458,9306.72,7238.685,6096.737
FL00459,5768.198,6432.125,3761.93
FL00460,2375.361,1362.501,7736.596
FL00461,6054.382,4734.224,9268.551
FL00462,5834.432,3151.583,11783.895
FL00463,3367.92,9896.108,10631.301
FL00464,3171.811,1680.814,9955.906
FL00465,9046.993,3054.57,5625.92
FL00466,3786.809,4025.302,1422.206
FL00467,46.269,9901.173,6601.592
FL00468,7048.622,8653.581,11326.907
FL00469,7795.331,1028.799,1701.421
FL00470,4745.55,967.603,9979.123
FL00471,2193.968,3660.989,1260.99
FL00472,1445.846,3432.781,4136.745
FL00473,7457.072,5085.125,4415.685
FL00474,2694.288,8820.737,8537.007
FL00475,1343.527,6235.75,1731.932
FL00476,8759.363,7752.96,1428.53
FL00477,380.579,4457.698,2129.757
FL00478,3612.171,5583.23,6819.716
FL00479,6072.543,9847.716,4830.307
FL00480,4500.949,4226.362,10408.435
FL00481,5644.529,6930.526,4013.964
FL00482,1750.663,3874.369,761.5
FL00483,8351.789,3240.72,10662.74
FL00484,1251.942,3695.343,755.076
FL00485,7890.447,8306.18,6015.542
FL00486,7604.902,7323.917,9966.681
FL00487,6733.955,3176.8,3737.043
FL00488,2373.147,4894.642,3273.752
FL00489,3174.798,2230.742,4816.747
FL00490,548.602,5494.562,10715.736
FL00491,3015.648,1488.584,8439.613
FL00492,8831.501,9315.987,5094.368
FL00493,1318.893,6191.828,6569.143
FL00494,659.948,3611.14,6163.513
FL00495,5256.395,8651.52,4397.179
FL00496,1953.035,4977.479,9941.658
FL00497,4778.862,7103.411,3676.1
FL00498,3982.842,5111.885,6659.031
FL00499,8502.155,2925.321,6243.149
FL00500,1312.244,639.372,82.758
FL00501,2130.093,311.788,9186.712
FL00502,3631.015,9681.681,9346.479
FL00503,3581.05,7234.651,8071.693
FL00504,5352.866,8113.385,6115.197
FL00505,9844.289,3267.135,6029.512
FL00506,4480.02,5412.327,8410.039
FL00507,5242.912,6637.561,8588.202
FL00508,6695.364,4607.66,8701.716
FL00509,6569.599,1883.133,11749.714
FL00510,6527.994,5791.623,8676.261
FL00511,9721.698,681.023,8558.775
FL00512,5657.695,3695.15,1892.36
FL00513,7099.775,1198.3,9467.483
FL00514,1234.595,3267.17,8452.645
FL00515,1970.727,6411.575,9788.926
FL00516,7431.522,5366.295,11783.221
FL00517,8728.109,1035.805,1311.346
FL00518,7705.37,1655.133,8207.854
FL00519,8343.578,6492.347,11833.486
FL00520,3396.046,1182.698,2312.327
FL00521,2728.95,320.752,9696.754
FL00522,5715.683,5819.195,1373.037
FL00523,190.887,3255.2,1258.227
FL00524,5782.656,4722.439,9488.195
FL00525,1333.178,1787.447,1570.421
FL00526,5837.327,3687.62,10683.245
FL00527,6487.666,5871.271,3070.162
FL00528,5850.488,9351.534,347.556
FL00529,5445.989,8922.343,2445.155
FL00530,4530.223,9481.425,17.209
FL00531,1994.831,786.45,4606.868
FL00532,5412.171,7110.357,6769.684
FL00533,6380.583,4716.372,525.277
FL00534,4815.757,5752.888,4720.127
FL00535,5002.344,180.177,11061.055
FL00536,9211.409,445.389,11967.816
FL00537,9494.664,6477.605,2035.95
FL00538,5390.865,1469.478,2107.86
FL00539,1327.904,1980.426,4885.328
FL00540,7334.695,2474.807,10448.595
FL00541,3503.188,4170.306,2369.235
FL00542,6940.459,8791.854,10449.558
FL00543,705.835,7227.715,2680.329
FL00544,7115.264,1258.659,9864.981
FL00545,4905.862,2174.613,6766.294
FL00546,3271.182,6139.381,1536.268
FL00547,8203.56,3248.292,131.475
FL00548,7872.265,4634.373,7556.942
FL00549,2679.267,4492.667,3482.505
FL00550,6089.948,8938.879,9313.505
FL00551,3014.943,1829.54,5003.49
FL00552,4842.63,1276.188,857.172
FL00553,3412.436,6336.477,7522.684
FL00554,8066.952,450.079,5096.568
FL00555,8147.789,9347.813,2290.226
FL00556,5756.772,5663.657,3288.529
FL00557,8517.264,2351.12,10517.729
FL00558,6220.287,8246.427,1525.539
FL00559,3900.385,8699.77,8949.39
FL00560,66.254,7682.46,8129.952
FL00561,4341.399,3205.046,6763.065
FL00562,24.464,2511.607,4682.694
FL00563,3918.074,2097.086,4472.02
FL00564,6366.449,1423.421,1805.789
FL00565,9630.786,4039.824,11368.879
FL00566,1417.726,4136.258,11616.158
FL00567,1263.697,2546.672,5120.653
FL00568,3924.224,5000.017,10981.577
FL00569,2939.709,7387.472,3125.591
FL00570,5706.605,2608.447,9514.033
FL00571,5404.623,1256.769,9216.812
FL00572,174.02,5144.685,1059.718
FL00573,1144.837,4610.113,10122.073
FL00574,5922.018,530.117,4025.85
FL00575,3386.929,269.251,11953.004
FL00576,6761.332,6804.697,11239.199
FL00577,9587.138,2934.781,7115.214
FL00578,9699.147,8810.976,6930.811
FL00579,4093.384,4612.093,9399.008
FL00580,4710.069,3035.603,10819.335
FL00581,3566.976,8102.044,201.333
FL00582,8650.014,8090.261,2537.464
FL00583,7712.703,2957.899,1321.692
FL00584,2903.561,3805.296,9615.492
FL00585,485.525,5174.64,7389.419
FL00586,89.481,785.337,10168.463
FL00587,9993.277,8313.887,1618.508
FL00588,6802.069,6086.364,403.726
FL00589,2031.133,6111.535,10236.788
FL00590,7920.142,7929.162,11849.875
FL00591,3478.223,7923.379,5121.984
FL00592,6094.668,1055.594,606.772
FL00593,7112.513,7227.85,712.61
FL00594,2476.859,1670.25,9087.778
FL00595,2957.691,9616.945,2446.071
FL00596,7280.818,2407.868,11384.471
FL00597,5169.247,1575.733,10817.745
FL00598,6436.384,200.392,6609.803
FL00599,3976.895,3953.434,1588.546
FL00600,7933.298,6314.02,11735.139
FL00601,1451.589,5621.184,1638.98
FL00602,1720.551,6503.258,7066.68
FL00603,9231.782,2247.419,10007.364
FL00604,9969.698,7001.673,11923.683
FL00605,4303.353,8520.796,8071.483
FL00606,7548.321,9664.143,8271.742
FL00607,2112.413,6072.299,1840.641
FL00608,8368.372,6386.482,11115.042
FL00609,4733.026,1027.408,11057.743
FL00610,8434.997,6302.829,10124.881
FL00611,6223.91,2473.377,6442.304
FL00612,7062.098,2080.72,3428.865
FL00613,8009.265,1913.206,1931.791
FL00614,2914.222,8059.821,2666.543
FL00615,777.131,4739.54,8327.152
FL00616,6223.894,2873.116,3101.675
FL00617,2969.795,4245.585,4116.474
FL00618,8956.087,5084.248,1564.682
FL00619,5525.725,5245.897,2914.718
FL00620,4215.684,956.069,3803.001
FL00621,3531.508,333.839,8141.592
FL00622,5949.7,7539.872,9943.938
FL00623,7810.871,7350.632,3187.503
FL00624,2731.861,4480.262,9186.314
FL00625,7277.056,3044.566,2184.724
FL00626,9007.446,9957.813,1462.092
FL00627,263.74,7803.163,11734.239
FL00628,3207.725,8220.904,6280.862
FL00629,7904.513,8302.277,637.95
FL00630,6831.832,4007.646,11608.83
FL00631,7733.314,1645.77,6300.915
FL00632,6322.605,7091.854,5516.583
FL00633,7872.301,5016.564,11277.446
FL00634,6557.352,1148.38,1370.542
FL00635,1431.974,7931.215,10293.567
FL00636,9848.809,9439.135,3982.857
FL00637,9170.501,8602.984,848.315
FL00638,5335.733,9475.34,2620.506
FL00639,2807.874,2684.427,522.326
FL00640,2485.21,1273.004,27.553
FL00641,4186.385,9274.917,7410.791
FL00642,52.1,6387.316,11187.734
FL00643,2346.79,870.577,3159.234
FL00644,4164.95,5412.156,1884.655
FL00645,5514.347,9087.299,5926.986
FL00646,9712.697,7535.247,8851.755
FL00647,6374.909,9361.843,6451.953
FL00648,6159.864,7080.841,6392.637
FL00649,824.795,3017.236,3615.273
FL00650,9152.62,1422.103,6672.961
FL00651,2440.399,2425.155,1376.28
FL00652,6335.868,1534.675,7243.472
FL00653,4380.074,4123.108,8801.172
FL00654,7746.602,9745.81,7375.208
FL00655,2253.369,6638.615,456.205
FL00656,1098.522,969.867,3881.525
FL00657,2133.029,2607.268,8392.206
FL00658,4314.223,9054.554,1620.274
FL00659,2692.483,7414.113,9494.965
FL00660,7822.088,3191.367,4276.034
FL00661,1638.965,2142.695,7164.956
FL00662,5431.048,8999.291,10736.945
FL00663,5039.651,9857.308,9403.332
FL00664,7439.651,478.149,8072.644
FL00665,7704.071,3840.32,9366.131
FL00666,7166.41,3806.559,2978.143
FL00667,7528.316,7025.024,8182.987
FL00668,3884.033,6617.452,9680.901
FL00669,3504.107,2779.23,3027.686
FL00670,2011.176,9735.798,415.316
FL00671,4300.728,4775.659,9050.853
FL00672,5956.508,6259.166,1549.215
FL00673,374.369,9540.222,411.222
FL00674,3542.192,5184.229,390.602
FL00675,6175.276,1214.12,7691.493
FL00676,4813.147,5382.822,4078.515
FL00677,3038.034,9440.823,11981.262
FL00678,3875.115,6146.074,7888.664
FL00679,2566.585,7094.376,4413.121
FL00680,5271.071,3375.225,10004.696
FL00681,131.44,6244.69,711.144
FL00682,4062.063,793.313,7816.992
FL00683,5525.744,2787.321,11078.867
FL00684,4362.054,767.694,6510.814
FL00685,3936.022,9999.294,5177.082
FL00686,1459.131,6676.206,8437.837
FL00687,2732.008,846.219,7284.788
FL00688,7674.131,4849.946,10425.56
FL00689,4111.041,4983.258,4209.942
FL00690,1608.159,1646.589,6920.132
FL00691,5138.044,7285.422,9853.471
FL00692,411.941,8466.659,10111.914
FL00693,8876.672,2486.577,11126.138
FL00694,1493.456,7445.757,6893.694
FL00695,8292.592,8042.277,5958.951
FL00696,9287.529,2011.862,8481.66
FL00697,300.073,3918.372,10796.81
FL00698,3394.156,6240.803,9935.416
FL00699,7391.311,4078.52,5920.823
FL00700,8271.557,6756.668,6043.155
FL00701,3118.844,928.423,10674.947
FL00702,2403.681,5940.159,7966.39
FL00703,2395.142,7919.667,11509.746
FL00704,1601.01,37.259,8691.4
FL00705,5046.843,9468.339,3036.911
FL00706,5770.788,4985.252,9958.767
